#########################################
#     NEBULAR output spectrum
#########################################
#
# Electron temperature [K]      : 10000
# Electron density [cm-3]       : 100
# Helium abundance              : 0.1
# Ionisation fraction (H+)      : 1
# Ionisation fraction (He+)     : 1
# Ionisation fraction (He++)    : 9.25655e-09
# H+ density [cm-3]             : 90
# He+ density [cm-3]            : 10
# He++ density [cm-3]           : 9.25655e-08
# Total nuclear density [cm-3]  : 100
# Total matter density [g cm-3] : 2.17083e-22
#
# Col 1:  Frequency [Hz]
# Col 2:  Wavelength [A]
# Col 3:  Total spectrum: f_lambda (erg s-1 cm-2 A-1)
# Col 4:  j_fb (free-bound HI)
# Col 5:  j_fb (free-bound HeI)
# Col 6:  j_fb (free-bound HeII)
# Col 7:  j_2q (two-photon HI)
# Col 8:  j_2q (two-photon HeI)
# Col 9:  j_2q (two-photon HeII)
# Col 10:  j_ff (free-free HII)
# Col 11: j_ff (free-free HeII)
# Col 12: j_ff (free-free HeIII)
# Col 13: j_nn' (HI   recombination lines)
# Col 14: j_nn' (HeI  recombination lines)
# Col 15: j_nn' (HeII recombination lines)
#
# nu lambda f_lambda fb_HI fb_HeI fb_HeII 2q_HI 2q_HeI 2q_HeII ff_HII ff_HeII ff_HeIII eml_HI eml_HeI eml_HeII
5.23198e+15 573 3.64957e-22 0 1.13885e-22 2.45987e-25 0 0 2.50138e-22 6.19018e-25 6.87798e-26 2.52422e-33 0 0 0
5.22287e+15 574 3.68214e-22 0 1.18385e-22 2.56021e-25 0 0 2.48857e-22 6.44472e-25 7.1608e-26 2.62787e-33 0 0 0
5.21378e+15 575 3.71641e-22 0 1.23046e-22 2.66424e-25 0 0 2.47584e-22 6.70875e-25 7.45417e-26 2.73537e-33 0 0 0
5.20473e+15 576 3.75243e-22 0 1.27871e-22 2.77211e-25 0 0 2.46319e-22 6.98258e-25 7.75842e-26 2.84686e-33 0 0 0
5.19571e+15 577 3.79025e-22 0 1.32868e-22 2.88393e-25 0 0 2.45062e-22 7.26653e-25 8.07392e-26 2.96247e-33 0 0 0
5.18672e+15 578 3.82992e-22 0 1.38039e-22 2.99983e-25 0 0 2.43812e-22 7.56094e-25 8.40105e-26 3.08232e-33 0 0 0
5.17776e+15 579 3.87149e-22 0 1.43392e-22 3.11994e-25 0 0 2.42571e-22 7.86615e-25 8.74017e-26 3.20657e-33 0 0 0
5.16884e+15 580 3.91502e-22 0 1.48932e-22 3.24441e-25 0 0 2.41337e-22 8.18252e-25 9.09169e-26 3.33535e-33 0 0 0
5.15994e+15 581 3.96058e-22 0 1.54665e-22 3.37336e-25 0 0 2.4011e-22 8.51041e-25 9.45601e-26 3.46881e-33 0 0 0
5.15107e+15 582 4.00822e-22 0 1.60596e-22 3.50695e-25 0 0 2.38892e-22 8.85018e-25 9.83354e-26 3.6071e-33 0 0 0
5.14224e+15 583 4.05799e-22 0 1.66731e-22 3.64533e-25 0 0 2.37681e-22 9.20223e-25 1.02247e-25 3.75038e-33 0 0 0
5.13343e+15 584 4.10997e-22 0 1.73077e-22 3.78864e-25 0 0 2.36477e-22 9.56696e-25 1.063e-25 3.89881e-33 0 0 0
5.12466e+15 585 4.16421e-22 0 1.79641e-22 3.93704e-25 0 0 2.35281e-22 9.94475e-25 1.10497e-25 4.05256e-33 0 0 0
5.11591e+15 586 4.22078e-22 0 1.86428e-22 4.09069e-25 0 0 2.34093e-22 1.0336e-24 1.14845e-25 4.21178e-33 0 0 0
5.1072e+15 587 4.27975e-22 0 1.93446e-22 4.24976e-25 0 0 2.32911e-22 1.07412e-24 1.19347e-25 4.37666e-33 0 0 0
5.09851e+15 588 4.3412e-22 0 2.00701e-22 4.41441e-25 0 0 2.31737e-22 1.11608e-24 1.24009e-25 4.54738e-33 0 0 0
5.08985e+15 589 4.40518e-22 0 2.082e-22 4.58483e-25 0 0 2.3057e-22 1.15952e-24 1.28836e-25 4.72411e-33 0 0 0
5.08123e+15 590 4.47177e-22 0 2.15951e-22 4.76119e-25 0 0 2.29411e-22 1.20449e-24 1.33832e-25 4.90705e-33 0 0 0
5.07263e+15 591 4.54104e-22 0 2.23962e-22 4.94367e-25 0 0 2.28259e-22 1.25103e-24 1.39003e-25 5.09638e-33 0 0 0
5.06406e+15 592 4.61308e-22 0 2.32238e-22 5.13246e-25 0 0 2.27113e-22 1.29919e-24 1.44355e-25 5.29232e-33 0 0 0
5.05552e+15 593 4.68797e-22 0 2.4079e-22 5.32776e-25 0 0 2.25975e-22 1.34903e-24 1.49893e-25 5.49506e-33 0 0 0
5.04701e+15 594 4.76577e-22 0 2.49624e-22 5.52976e-25 0 0 2.24844e-22 1.4006e-24 1.55622e-25 5.70481e-33 0 0 0
5.03853e+15 595 4.84658e-22 0 2.58749e-22 5.73867e-25 0 0 2.2372e-22 1.45395e-24 1.6155e-25 5.92178e-33 0 0 0
5.03007e+15 596 4.93047e-22 0 2.68173e-22 5.9547e-25 0 0 2.22602e-22 1.50913e-24 1.67681e-25 6.14621e-33 0 0 0
5.02165e+15 597 5.01754e-22 0 2.77904e-22 6.17806e-25 0 0 2.21492e-22 1.5662e-24 1.74022e-25 6.37831e-33 0 0 0
5.01325e+15 598 5.10787e-22 0 2.87953e-22 6.40897e-25 0 0 2.20388e-22 1.62522e-24 1.80579e-25 6.61831e-33 0 0 0
5.00488e+15 599 5.20156e-22 0 2.98327e-22 6.64767e-25 0 0 2.19291e-22 1.68624e-24 1.8736e-25 6.86646e-33 0 0 0
4.99654e+15 600 5.2987e-22 0 3.09035e-22 6.89437e-25 0 0 2.18201e-22 1.74933e-24 1.9437e-25 7.12301e-33 0 0 0
4.98823e+15 601 5.39937e-22 0 3.20089e-22 7.14932e-25 0 0 2.17118e-22 1.81455e-24 2.01617e-25 7.38819e-33 0 0 0
4.97994e+15 602 5.50369e-22 0 3.31496e-22 7.41276e-25 0 0 2.16041e-22 1.88196e-24 2.09107e-25 7.66227e-33 0 0 0
4.97168e+15 603 5.61175e-22 0 3.43268e-22 7.68494e-25 0 0 2.1497e-22 1.95163e-24 2.16848e-25 7.94552e-33 0 0 0
4.96345e+15 604 5.72365e-22 0 3.55414e-22 7.96613e-25 0 0 2.13907e-22 2.02362e-24 2.24847e-25 8.2382e-33 0 0 0
4.95525e+15 605 5.8395e-22 0 3.67944e-22 8.25657e-25 0 0 2.1285e-22 2.09801e-24 2.33112e-25 8.54059e-33 0 0 0
4.94707e+15 606 5.95941e-22 0 3.8087e-22 8.55655e-25 0 0 2.11799e-22 2.17486e-24 2.41651e-25 8.85299e-33 0 0 0
4.93892e+15 607 6.08348e-22 0 3.94202e-22 8.86633e-25 0 0 2.10754e-22 2.25424e-24 2.50471e-25 9.17567e-33 0 0 0
4.9308e+15 608 6.21183e-22 0 4.07952e-22 9.1862e-25 0 0 2.09716e-22 2.33623e-24 2.59582e-25 9.50894e-33 0 0 0
4.9227e+15 609 6.34457e-22 0 4.22131e-22 9.51646e-25 0 0 2.08685e-22 2.42091e-24 2.6899e-25 9.85311e-33 0 0 0
4.91463e+15 610 6.48182e-22 0 4.3675e-22 9.85739e-25 0 0 2.07659e-22 2.50835e-24 2.78706e-25 1.02085e-32 0 0 0
4.90659e+15 611 6.6237e-22 0 4.51822e-22 1.02093e-24 0 0 2.0664e-22 2.59864e-24 2.88738e-25 1.05754e-32 0 0 0
4.89857e+15 612 6.77034e-22 0 4.67359e-22 1.05725e-24 0 0 2.05627e-22 2.69185e-24 2.99094e-25 1.09542e-32 0 0 0
4.89058e+15 613 6.92186e-22 0 4.83373e-22 1.09473e-24 0 0 2.0462e-22 2.78806e-24 3.09785e-25 1.13452e-32 0 0 0
4.88261e+15 614 7.07838e-22 0 4.99878e-22 1.13341e-24 0 0 2.03619e-22 2.88737e-24 3.20819e-25 1.17487e-32 0 0 0
4.87467e+15 615 7.24005e-22 0 5.16885e-22 1.17331e-24 0 0 2.02625e-22 2.98986e-24 3.32207e-25 1.21651e-32 0 0 0
4.86676e+15 616 7.407e-22 0 5.3441e-22 1.21448e-24 0 0 2.01636e-22 3.09562e-24 3.43958e-25 1.25948e-32 0 0 0
4.85887e+15 617 7.57936e-22 0 5.52465e-22 1.25694e-24 0 0 2.00653e-22 3.20475e-24 3.56083e-25 1.30382e-32 0 0 0
4.85101e+15 618 7.75728e-22 0 5.71065e-22 1.30074e-24 0 0 1.99676e-22 3.31733e-24 3.68592e-25 1.34956e-32 0 0 0
4.84317e+15 619 7.9409e-22 0 5.90223e-22 1.3459e-24 0 0 1.98705e-22 3.43346e-24 3.81496e-25 1.39674e-32 0 0 0
4.83536e+15 620 8.13036e-22 0 6.09955e-22 1.39248e-24 0 0 1.9774e-22 3.55325e-24 3.94806e-25 1.4454e-32 0 0 0
